Student Name,Semester Joined,Major,Position,Email,Club Name
Paul Wilson,Fall 2018,Spanish,General Member,PaulWilson87@gulls.salisbury.edu,Esports Association
Robert Nguyen,Fall 2020,American Studies,General Member,RobertNguyen796@gulls.salisbury.edu,Esports Association
Richard Harris,Fall 2020,Computer Science,President,RichardHarris825@gulls.salisbury.edu,Middle Eastern Cultural Society
Kimberly Wilson,Fall 2020,Computer Science,Vice President,KimberlyWilson2@gulls.salisbury.edu,Middle Eastern Cultural Society
Joseph Lopez,Fall 2018,Economics,Treasurer,JosephLopez538@gulls.salisbury.edu,Middle Eastern Cultural Society
Rachel Garcia,Spring 2018,History,Secretary,RachelGarcia888@gulls.salisbury.edu,Middle Eastern Cultural Society
John Jones,Fall 2019,American Studies,General Member,JohnJones924@gulls.salisbury.edu,Middle Eastern Cultural Society
Susan Allen,Spring 2021,Mechanical Engineering,General Member,SusanAllen691@gulls.salisbury.edu,Middle Eastern Cultural Society
William Jones,Fall 2021,Nursing,General Member,WilliamJones553@gulls.salisbury.edu,Middle Eastern Cultural Society
Anthony Thomas,Fall 2019,Accounting,General Member,AnthonyThomas265@gulls.salisbury.edu,Middle Eastern Cultural Society
Michael Smith,Fall 2018,Economics,President,MichaelSmith321@gulls.salisbury.edu,PE Society
James King,Spring 2019,Literature,Vice President,JamesKing722@gulls.salisbury.edu,PE Society
James King,Spring 2020,Chemistry,Treasurer,JamesKing758@gulls.salisbury.edu,PE Society
Susan Lee,Spring 2018,Nursing,Secretary,SusanLee808@gulls.salisbury.edu,PE Society
Rachel Jones,Fall 2020,Nursing,General Member,RachelJones625@gulls.salisbury.edu,PE Society
Anna Walker,Fall 2019,Physics,General Member,AnnaWalker488@gulls.salisbury.edu,PE Society
Heather Harris,Fall 2019,Physics,General Member,HeatherHarris974@gulls.salisbury.edu,PE Society
Susan Davis,Spring 2021,History,General Member,SusanDavis768@gulls.salisbury.edu,PE Society
Frank Clark,Fall 2018,Business Administration,President,FrankClark134@gulls.salisbury.edu,Photo Club
Nancy Nguyen,Fall 2019,Data Science,Vice President,NancyNguyen940@gulls.salisbury.edu,Photo Club
Stephanie Brown,Fall 2020,Geography,Treasurer,StephanieBrown274@gulls.salisbury.edu,Photo Club
Stephanie Thomas,Fall 2018,Political Science,Secretary,StephanieThomas121@gulls.salisbury.edu,Photo Club
Justin Garcia,Fall 2021,Early Childhood Education,General Member,JustinGarcia887@gulls.salisbury.edu,Photo Club
Edward Lee,Spring 2020,Physics,General Member,EdwardLee457@gulls.salisbury.edu,Photo Club
John Hill,Fall 2019,History,General Member,JohnHill485@gulls.salisbury.edu,Photo Club
Thomas Nguyen,Spring 2020,Mechanical Engineering,General Member,ThomasNguyen732@gulls.salisbury.edu,Photo Club
Virgina Davis,Fall 2018,Spanish,President,VirginaDavis46@gulls.salisbury.edu,Salisbury Smasherz
Kenneth Jones,Spring 2018,Early Childhood Education,Vice President,KennethJones37@gulls.salisbury.edu,Salisbury Smasherz
Julie Hill,Fall 2020,Early Childhood Education,Treasurer,JulieHill552@gulls.salisbury.edu,Salisbury Smasherz
Robert King,Spring 2018,Early Childhood Education,Secretary,RobertKing490@gulls.salisbury.edu,Salisbury Smasherz
Frank Johnson,Fall 2018,Biology,General Member,FrankJohnson264@gulls.salisbury.edu,Salisbury Smasherz
Mark Thomas,Spring 2020,Economics,General Member,MarkThomas488@gulls.salisbury.edu,Salisbury Smasherz
Christopher Allen,Spring 2018,Biology,General Member,ChristopherAllen142@gulls.salisbury.edu,Salisbury Smasherz
Kathleen Jones,Fall 2018,Economics,General Member,KathleenJones464@gulls.salisbury.edu,Salisbury Smasherz
Kimberly Miller,Fall 2018,Actuarial Science,President,KimberlyMiller365@gulls.salisbury.edu,Sigma Alpha Epsilon
Rachel Perez,Spring 2019,Spanish,Vice President,RachelPerez670@gulls.salisbury.edu,Sigma Alpha Epsilon
Richard Garcia,Fall 2019,Early Childhood Education,Treasurer,RichardGarcia50@gulls.salisbury.edu,Sigma Alpha Epsilon
Kathleen Thomas,Fall 2020,Government,Secretary,KathleenThomas854@gulls.salisbury.edu,Sigma Alpha Epsilon
Andrew Johnson,Spring 2019,Early Childhood Education,General Member,AndrewJohnson573@gulls.salisbury.edu,Sigma Alpha Epsilon
Brenda Walker,Fall 2020,Early Childhood Education,General Member,BrendaWalker207@gulls.salisbury.edu,Sigma Alpha Epsilon
Kathleen Lopez,Spring 2020,American Studies,General Member,KathleenLopez623@gulls.salisbury.edu,Sigma Alpha Epsilon
Julie Clark,Spring 2019,Mechanical Engineering,General Member,JulieClark706@gulls.salisbury.edu,Sigma Alpha Epsilon
Catherine Hill,Spring 2021,Mathematics,President,CatherineHill615@gulls.salisbury.edu,Starnet Society
Heather Allen,Spring 2018,Accounting,Vice President,HeatherAllen934@gulls.salisbury.edu,Starnet Society
Christopher Brown,Fall 2020,Geography,Treasurer,ChristopherBrown725@gulls.salisbury.edu,Starnet Society
Mathew Allen,Spring 2019,Accounting,Secretary,MathewAllen97@gulls.salisbury.edu,Starnet Society
Anthony Garcia,Fall 2019,Business Administration,General Member,AnthonyGarcia720@gulls.salisbury.edu,Starnet Society
Anna Garcia,Fall 2020,Literature,General Member,AnnaGarcia855@gulls.salisbury.edu,Starnet Society
Jason Jones,Fall 2020,Nursing,General Member,JasonJones770@gulls.salisbury.edu,Starnet Society
Kathleen Jones,Fall 2021,Information Systems,General Member,KathleenJones820@gulls.salisbury.edu,Starnet Society
Joshua King,Fall 2021,Biology,President,JoshuaKing640@gulls.salisbury.edu,Zeta Tau Alpha
Olivia Hill,Fall 2019,American Studies,Vice President,OliviaHill866@gulls.salisbury.edu,Zeta Tau Alpha
Julie Walker,Spring 2018,Information Systems,Treasurer,JulieWalker274@gulls.salisbury.edu,Zeta Tau Alpha
David Harris,Fall 2018,Computer Science,Secretary,DavidHarris598@gulls.salisbury.edu,Zeta Tau Alpha
Brenda Perez,Fall 2018,American Studies,General Member,BrendaPerez225@gulls.salisbury.edu,Zeta Tau Alpha
Kenneth Johnson,Spring 2021,Physics,General Member,KennethJohnson14@gulls.salisbury.edu,Zeta Tau Alpha
Heather King,Fall 2019,Accounting,General Member,HeatherKing643@gulls.salisbury.edu,Zeta Tau Alpha
James Davis,Fall 2019,American Studies,General Member,JamesDavis450@gulls.salisbury.edu,Zeta Tau Alpha
